frame, time,Joint6: JointValue (degree),Joint6: JointVel (degree/s),Joint6: JointAccl (degree/s^2),Joint6: GenForce (N.m),Joint5: JointValue (degree),Joint5: JointVel (degree/s),Joint5: JointAccl (degree/s^2),Joint5: GenForce (N.m),Joint4: JointValue (degree),Joint4: JointVel (degree/s),Joint4: JointAccl (degree/s^2),Joint4: GenForce (N.m),Joint3: JointValue (degree),Joint3: JointVel (degree/s),Joint3: JointAccl (degree/s^2),Joint3: GenForce (N.m),Joint2: JointValue (degree),Joint2: JointVel (degree/s),Joint2: JointAccl (degree/s^2),Joint2: GenForce (N.m),Joint1: JointValue (degree),Joint1: JointVel (degree/s),Joint1: JointAccl (degree/s^2),Joint1: GenForce (N.m),
1,0,-1.5333973733722E-13,-5.3211752409001E-11,-2.63032565558566E-16,-1.0862244886344E-35,0.000215632563539575,0.0433123201182901,4.29578965906161,6.02391124024073E-05,-4.70916421599394E-06,-0.000882597144134384,-0.100146944501117,2.61717800978094E-20,0.0212469671836772,4.24915474823884,425.133263244575,0.00700725604057384,0.0214542976484227,4.29085924597476,429.257682648709,-0.00700659977262319,4.70916436930623E-06,0.000882597197325148,0.100146944501064,0.0063816833877915,
2,0.01,-1.22493475802363E-12,-7.92820180263779E-11,-1.35316426609927E-08,2.46980524687126E-14,0.000873500711597831,0.0888533510926566,4.40724460043759,0.00027103914619285,-1.52806636453798E-05,-0.00105475365414513,-0.0646150102364818,-1.44583663369516E-10,0.084956554691481,8.49544561671608,424.990088168873,0.03169816112625,0.0858000078087002,8.58171415527672,429.257512511222,-0.031703617309546,1.52806648685592E-05,0.00105475373295627,0.0646150237587786,0.028718626125391,
3,0.02,4.00529273805296E-12,1.78076364510116E-09,3.54769920676167E-08,6.09148072329394E-15,0.00200702786196061,0.13885244384502,4.74164173647288,0.000451743113377842,-2.10618486407337E-05,0.00019373838894513,0.0419688111128227,1.62088266879577E-10,0.191085793942228,12.7360026511632,424.560258602603,0.0528436399785237,0.193037044436335,12.8725547873291,429.25672178552,-0.0526238919337487,2.10618446225479E-05,-0.000193740171322099,-0.0419688466888946,0.0478632185579356,
4,0.03,5.89688107436133E-11,1.12925840137302E-08,4.27880610807908E-07,-4.82655316805331E-13,0.00367193310300972,0.195541348858649,5.29916474035998,0.000632467554758767,-4.30108289933122E-06,0.00357304209910383,0.219599069393796,1.24592169912985E-09,0.339562965923677,16.9679423113863,423.842750737069,0.0740096301437141,0.34316517074649,17.1633599915705,429.254469613366,-0.0732262575920828,4.30102392116679E-06,-0.00357305338519059,-0.219599497298554,0.0670086882479657,
5,0.04,2.94700097956697E-10,4.07020867477799E-08,1.67265171021252E-06,-2.80210853340673E-12,0.00594626042003264,0.261155234033833,6.08010757784407,0.000813203836163886,5.98521313553322E-05,0.00979335770798159,0.468273639829231,3.63292770791109E-09,0.530287432369519,21.1883609051397,422.835873380074,0.0952023981166998,0.536183859103707,21.4540917949515,429.249354067522,-0.0933836126686884,-5.98524257343992E-05,-0.00979339832822133,-0.468275310038131,0.0861581589648018,
6,0.05,1.01059282828147E-09,1.12086318573509E-07,4.57015249192764E-06,-1.0362235004559E-11,0.00893041707116869,0.337933485702822,7.08485638625997,0.000993926428888356,0.000203348437793894,0.0195651295650566,0.788004153308561,8.0325900380195E-09,0.763129402573873,25.3943282912787,421.537290449802,0.116426273358491,0.772092094759755,25.7446897789915,429.239411282097,-0.112966656480637,-0.000203349445895529,-0.0195652412191418,-0.78800870777035,0.105317588028614,
7,0.06,2.79385541140934E-09,2.61803887508687E-07,1.03050863401063E-05,-3.06987786645122E-11,0.0127472185914443,0.428120222217289,8.31386423098769,0.00117458807645135,0.000465242778210577,0.0335994197936174,1.17883058889641,1.53969921803877E-08,1.03792963897616,29.5828819402051,419.944052336255,0.1376831050638,1.05088812331777,30.0350654428988,429.222114233263,-0.131843284863422,-0.000465245560333124,-0.0335996799475303,-1.17884083056571,0.124496593713394,
8,0.07,6.69054961788744E-09,5.46438252271325E-07,2.05746911532944E-05,-7.90879531857324E-11,0.0175419372048871,0.533964451015771,9.76761886814721,0.00135511499696857,0.000891703286211963,0.0526084901549329,1.64084002365926,2.69835899615265E-08,1.35449910552173,33.7510214380876,418.052635997914,0.158971731177317,1.37256914176595,34.3250965492797,429.194371170711,-0.149878008954055,-0.0008917099337537,-0.0526090313905663,-1.64086039539005,0.143709279927374,
9,0.08,1.44455410999946E-08,1.0507375351705E-06,3.77610335521569E-05,-1.84511436553656E-10,0.0234823497433303,0.657719802008299,11.4466036841959,0.00153540213786123,0.00153602721154378,0.0773066337244545,2.17418954024415,4.4423472962717E-08,1.71261856365863,37.8957035193772,415.858993619477,0.180287463165356,1.73713093288965,38.6146214490197,429.152523703472,-0.166931403648562,-0.00153604152306272,-0.0773076700751061,-2.17422674171342,0.162975057316118,
10,0.09,2.88344935929683E-08,1.89821853816891E-06,6.51608578410882E-05,-3.99070455424608E-10,0.0307587805107651,0.801643772519496,13.3512520285026,0.00171530850490175,0.00245866658089296,0.108411298168661,2.77913330300446,6.97975985596655E-08,2.11203812166401,42.0138377097125,413.358609611735,0.201621590490057,2.14456744283707,42.9034333820593,429.092344549432,-0.182859593030805,-0.00245869504397565,-0.108413160308657,-2.77919707700948,0.182319459817093,
11,0.1,5.41188218700192E-08,3.26533802789049E-06,0.000107292645331295,-8.12291003047435E-10,0.0395841338989338,0.967996421953692,15.4818952045428,0.0018946525938767,0.0037272667204472,0.146644542795821,3.45605382995019,1.05724264198659E-07,2.5524767438003,46.1022826583898,410.546565686732,0.222960909231169,2.59487030158219,47.1912747510215,429.009034966614,-0.197513780996225,-0.0037273198988297,-0.14664772434244,-3.45615795402546,0.201774955554425,
12,0.11,9.66650974569322E-08,5.40046206703756E-06,0.000170308670350459,-1.57216378296904E-09,0.0501939109586842,1.15903845783382,17.8387044395399,0.00207320796036817,0.00541672119010158,0.192734872215905,4.20549751148998,1.55462025224015E-07,3.0336217265755,50.1578432361172,407.417613689972,0.244287279841819,3.08802828599987,51.4778313650365,428.897221896713,-0.210739836320045,-0.00541681564031547,-0.192740089867988,-4.20566103726441,0.221381750788118,
13,0.12,1.65784817868037E-07,8.64930866753883E-06,0.000262550238387345,-2.91522451166967E-09,0.0628462035683441,1.3770286589696,20.4216272114507,0.00225069897136319,0.00760924711217597,0.247419490472319,5.02821445890207,2.23033390914504E-07,3.55512815011976,54.1772684697554,403.966255816524,0.26557721959742,3.62402672524418,55.7627266516838,428.750954868136,-0.222377942505396,-0.00760940798397371,-0.247427761279524,-5.02846325049917,0.241188585408499,
