frame, time,Joint1: GenForce (N.m),Joint2: GenForce (N.m),Joint3: GenForce (N.m),
1,0,9.53532,3.20787,0.26487,
2,0.01,10.3452165200576,3.54331073522311,0.298409115735049,
3,0.02,11.1519166664174,3.87742759281912,0.331815860717692,
4,0.03,11.9522359680506,4.20890156675359,0.364958335234312,
5,0.04,12.7430124983357,4.53642294594603,0.397705531495921,
6,0.05,13.5211155813103,4.85869522036961,0.42992771668398,
7,0.06,14.2834520993632,5.17443849610093,0.46149680378522,
8,0.07,15.0269700621132,5.48239245687005,0.492286733818521,
9,0.08,15.7486592434353,5.78131891848534,0.522173889566204,
10,0.09,16.4455488614003,6.07000403025468,0.551037556425892,
11,0.1,17.1147024573972,6.34726018416593,0.578760440745546,
12,0.11,17.7532103184634,6.61192769813713,0.605229250272779,
13,0.12,18.3581799730865,6.86287634414568,0.630335335437057,
14,0.13,18.9267254676413,7.09900679555384,0.653975384390802,
15,0.14,19.4559562905546,7.3192520705292,0.67605215935414,
16,0.15,19.9429669469157,7.52257905015451,0.696475257108183,
17,0.16,20.3848282907668,7.70799015064373,0.715161872702177,
18,0.17,20.7785817894439,7.87452522899101,0.732037542779373,
19,0.18,21.1212379185347,8.02126380027571,0.747036843537466,
20,0.19,21.4097798624852,8.14732764256117,0.760104018321936,
21,0.2,21.6411736207156,8.25188386161331,0.771193511247374,
22,0.21,21.8123854895114,8.33414848221656,0.780270386034452,
23,0.22,21.920407704417,8.39339062530214,0.787310613354058,
24,0.23,21.9622927865144,8.42893732001145,0.792301215232065,
25,0.24,21.9351968408566,8.4401789867547,0.795240261263576,
26,0.25,21.8364317108834,8.42657561086943,0.796136718218577,
27,0.26,21.663525505962,8.38766360626721,0.795010161729117,
28,0.27,21.4142906004471,8.32306334421995,0.791890365710717,
29,0.28,21.0868977652161,8.23248729408597,0.786816791524969,
30,0.29,20.6799546531777,8.11574869044265,0.779838004154694,
31,0.3,20.1925864384859,7.97277060519884,0.771011046367976,
32,0.31,19.6245160273648,7.80359526457096,0.760400803573211,
33,0.32,18.9761409405151,7.60839341047507,0.748079391485989,
34,0.33,18.2486037374737,7.38747346547189,0.734125595647515,
35,0.34,17.4438527354928,7.14129022186461,0.718624386235361,
36,0.35,16.5646897902105,6.87045274120715,0.701666523678247,
37,0.36,15.6148020686691,6.57573112291943,0.683348260736463,
38,0.37,14.5987750667116,6.25806178265271,0.663771135565938,
39,0.38,13.5220846038179,5.91855087519314,0.643041838665826,
40,0.39,12.3910661609864,5.5584755054843,0.621272125476558,
41,0.4,11.2128606929946,5.17928239676509,0.598578736774304,
42,0.41,9.99533691679775,4.78258372812723,0.575083281900798,
43,0.42,8.74699101503215,4.37014991534116,0.550912036150806,
44,0.43,7.47682565202113,3.94389918782952,0.526195603963331,
45,0.44,6.19421112860938,3.50588390923059,0.501068404262895,
46,0.45,4.90873234892718,3.05827369591358,0.475667943333259,
47,0.46,3.63002598588386,2.60333550277273,0.450133853531756,
48,0.47,2.36761276742112,2.14341096337296,0.424606692130153,
49,0.48,1.13073012609434,1.68089138612721,0.399226512424533,
50,0.49,-0.0718294636053711,1.21819091344385,0.374131237580203,
51,0.5,-1.23186930217586,0.757718440624141,0.349454884945266,
52,0.51,-2.34192368691015,0.301848960230721,0.32532570328965,
53,0.52,-3.39537341871208,-0.14710495878643,0.301864296298101,
54,0.53,-4.38653828899286,-0.586920832836296,0.279181811671592,
55,0.54,-5.31074419529885,-1.01549235680845,0.257378275790952,
56,0.55,-6.16436357178968,-1.43085326361272,0.236541148959357,
57,0.56,-6.944828883464,-1.83119835733113,0.216744166135897,
58,0.57,-7.65061996300361,-2.2149012232659,0.198046513607511,
59,0.58,-8.28122691275408,-2.5805282331702,0.180492374380121,
60,0.59,-8.83709110632153,-2.92684859185955,0.164110855593868,
61,0.6,-9.31952747007477,-3.25284030566684,0.14891629147033,
62,0.61,-9.73063168261655,-3.55769208718039,0.134908896626256,
63,0.62,-10.0731761913011,-3.84080133809594,0.122075728313004,
64,0.63,-10.3504990130502,-4.10176846726483,0.110391903266224,
65,0.64,-10.566389177182,-4.3403878996148,0.0998220060405152,
66,0.65,-10.7249724048674,-4.55663621028782,0.0903216212560037,
67,0.66,-10.8306002337303,-4.7506578751526,0.0818389220369339,
68,0.67,-10.8877453211486,-4.92274916320919,0.0743162506994142,
69,0.68,-10.9009051310183,-5.07334070893928,0.0676916348184137,
70,0.69,-10.8745156595509,-5.20297929504619,0.0619001913761946,
71,0.7,-10.8128763160135,-5.312309350775,0.0568753828843631,
