frame, time,Joint1: GenForce (N.m),Joint2: GenForce (N.m),Joint3: GenForce (N.m),
1,0,7.98534,2.39364,-0.05886,
2,0.01,8.41557970209906,2.5524424502116,-0.0597652479768126,
3,0.02,8.81974415378483,2.70162044499835,-0.0606156288706194,
4,0.03,9.19836447378004,2.84136987316866,-0.0614122337607716,
5,0.04,9.55196879978656,2.97188524225964,-0.0621560813410167,
6,0.05,9.88107889251791,3.09335837255469,-0.0628480545134211,
7,0.06,10.1862055580419,3.20597685728656,-0.0634888308406877,
8,0.07,10.4678431104257,3.30992240933819,-0.0640788138005283,
9,0.08,10.7264631469886,3.40536918544327,-0.0646180693348194,
10,0.09,10.9625079378501,3.49248215532203,-0.0651062702979111,
11,0.1,11.1763837434086,3.57141556470419,-0.0655426500171446,
12,0.11,11.3684543710802,3.6423115271797,-0.0659259652229267,
13,0.12,11.5390352689078,3.70529876969808,-0.0662544680268493,
14,0.13,11.6883884310269,3.76049154975242,-0.0665258863671798,
15,0.14,11.81671836062,3.80798875829129,-0.0667374123455342,
16,0.15,11.9241693017447,3.84787322066945,-0.0668856980912523,
17,0.16,12.0108239138135,3.88021120795469,-0.066966859156185,
18,0.17,12.0767035227882,3.90505217214315,-0.0669764859081038,
19,0.18,12.1217700423161,3.92242872080354,-0.0669096639024788,
20,0.19,12.1459296168587,3.93235684889759,-0.0667610047178367,
21,0.2,12.1490379979505,3.93483644756026,-0.0665246891889236,
22,0.21,12.1309076245393,3.92985211105745,-0.0661945253166624,
23,0.22,12.0913163392819,3.91737426359893,-0.0657640233302215,
24,0.23,12.0300176350123,3.89736062685461,-0.0652264903853348,
25,0.24,11.9467522896707,3.86975804664843,-0.0645751471721715,
26,0.25,11.8412612140829,3.83450469320326,-0.0638032682523032,
27,0.26,11.7132993054502,3.79153264338394,-0.062904347235678,
28,0.27,11.5626500706254,3.74077084562159,-0.0618722869464396,
29,0.28,11.3891407576572,3.68214845868737,-0.0607016135279111,
30,0.29,11.1926577121485,3.6155985444019,-0.0593877120361699,
31,0.3,10.9731616572487,3.54106208200203,-0.0579270795202861,
32,0.31,10.7307025831273,3.45849225861811,-0.0563175899550222,
33,0.32,10.4654339241527,3.36785897660994,-0.0545587637641444,
34,0.33,10.1776257002767,3.26915350490638,-0.0526520331480639,
35,0.34,9.86767630383354,3.16239318858748,-0.0506009931153036,
36,0.35,9.53612262455567,3.0476261193652,-0.0484116271227951,
37,0.36,9.18364822443058,2.92493565999121,-0.0460924956599992,
38,0.37,8.81108930027721,2.79444470855366,-0.043654876058434,
39,0.38,8.41943820563903,2.65631958466992,-0.0411128423426105,
40,0.39,8.00984434459152,2.5107734192003,-0.0384832751032201,
41,0.4,7.58361229793153,2.35806893264166,-0.0357857931761138,
42,0.41,7.14219709628517,2.19852049500873,-0.0330426013187184,
43,0.42,6.68719661400154,2.03249537180713,-0.0302782510146481,
