frame, time,Joint2: JointValue (degree),Joint1: JointValue (degree),Joint1: JointVel (degree/s),Joint1: JointAccl (degree/s^2),Joint2: JointVel (degree/s),Joint2: JointAccl (degree/s^2),
1,0,0,0,0,0,0,0,
2,0.01,0.000886554,0.001773108,0.529254,104.7816,0.264627,52.3908,
3,0.02,0.006985728,0.013971456,2.074464,203.2128,1.037232,101.6064,
4,0.03,0.023219622,0.046439244,4.572774,295.4232,2.286387,147.7116,
5,0.04,0.054199296,0.108398592,7.962624,381.5424,3.981312,190.7712,
6,0.05,0.10423125,0.2084625,12.18375,461.7,6.091875,230.85,
7,0.06,0.177323904,0.354647808,17.177184,536.0256,8.588592,268.0128,
8,0.07,0.277194078,0.554388156,22.885254,604.6488,11.442627,302.3244,
9,0.08,0.407273472,0.814546944,29.251584,667.6992,14.625792,333.8496,
10,0.09,0.570715146,1.141430292,36.221094,725.3064,18.110547,362.6532,
11,0.1,0.7704,1.5408,43.74,777.6,21.87,388.8,
12,0.11,1.008943254,2.017886508,51.755814,824.7096,25.877907,412.3548,
13,0.12,1.288700928,2.577401856,60.217344,866.7648,30.108672,433.3824,
14,0.13,1.611776322,3.223552644,69.074694,903.8952,34.537347,451.9476,
15,0.14,1.980026496,3.960052992,78.279264,936.2304,39.139632,468.1152,
16,0.15,2.39506875,4.7901375,87.78375,963.9,43.891875,481.95,
17,0.16,2.858287104,5.716574208,97.542144,987.0336,48.771072,493.5168,
18,0.17,3.370838778,6.741677556,107.509734,1005.7608,53.754867,502.8804,
19,0.18,3.933660672,7.867321344,117.643104,1020.2112,58.821552,510.1056,
20,0.19,4.547475846,9.094951692,127.900134,1030.5144,63.950067,515.2572,
21,0.2,5.2128,10.4256,138.24,1036.8,69.12,518.4,
22,0.21,5.929947954,11.859895908,148.623174,1039.1976,74.311587,519.5988,
23,0.22,6.699040128,13.398080256,159.011424,1037.8368,79.505712,518.9184,
24,0.23,7.520009022,15.040018044,169.367814,1032.8472,84.683907,516.4236,
25,0.24,8.392605696,16.785211392,179.656704,1024.3584,89.828352,512.1792,
26,0.25,9.31640625,18.6328125,189.84375,1012.5,94.921875,506.25,
27,0.26,10.290818304,20.581636608,199.895904,997.4016,99.947952,498.7008,
28,0.27,11.315087478,22.630174956,209.781414,979.1928,104.890707,489.5964,
