frame, time,Joint1: GenForce (N.m),Joint2: GenForce (N.m),Joint3: GenForce (N.m),
1,0,3.99267,1.19682,-0.02943,
2,0.01,4.14204052980041,1.25304697650473,-0.0286119727701475,
3,0.02,4.29082153620565,1.30905203584608,-0.0277971730830031,
4,0.03,4.4384256125207,1.36461402355216,-0.0269888095224786,
5,0.04,4.58426927972218,1.41951317466224,-0.0261900459437631,
6,0.05,4.72777438943959,1.47353159243833,-0.0254039691025234,
7,0.06,4.86836907507674,1.52645359665917,-0.0246335515312536,
8,0.07,5.00548822524181,1.57806596104234,-0.0238816115149991,
9,0.08,5.13857347355827,1.62815805989232,-0.0231507719221883,
10,0.09,5.26707272077272,1.67652194390329,-0.0224434194888589,
11,0.1,5.39043922805127,1.72295236427838,-0.0217616659508133,
12,0.11,5.50813034358998,1.7672467631079,-0.0211073121851939,
13,0.12,5.61960594725422,1.80920524644778,-0.0204818162790936,
14,0.13,5.72432671900378,1.84863055492768,-0.0198862662068268,
15,0.14,5.82175235547588,1.88532804517045,-0.0193213575872449,
16,0.15,5.91133987446441,1.91910569397735,-0.0187873768237867,
17,0.16,5.99254215839855,1.94977413625816,-0.0182841898154466,
18,0.17,6.06480689463298,1.97714674715996,-0.0178112363750418,
19,0.18,6.12757607186932,2.00103977882391,-0.0173675305055589,
20,0.19,6.18028618791604,2.02127256267827,-0.0169516667638715,
21,0.2,6.22236931398344,2.03766778910491,-0.0165618330755597,
22,0.21,6.25325514467294,2.05005187758677,-0.0161958305405701,
23,0.22,6.27237414079563,2.05825545189259,-0.0158511009665763,
24,0.23,6.27916184435407,2.06211393627166,-0.0155247630591827,
25,0.24,6.2730644118451,2.06146828976475,-0.0152136583550255,
26,0.25,6.25354537408101,2.05616589631048,-0.0149144080717542,
27,0.26,6.22009358877692,2.04606162805062,-0.0146234820331732,
28,0.27,6.17223230720846,2.03101909783278,-0.0143372806753512,
29,0.28,6.10952922949792,2.01091211412281,-0.0140522308218147,
30,0.29,6.03160737591689,1.98562634717297,-0.0137648954126956,
31,0.3,5.93815655553933,1.95506120921991,-0.0134720966754309,
32,0.31,5.82894517031423,1.91913194368146,-0.0131710513401427,
33,0.32,5.70383205391326,1.87777190886843,-0.0128595154563485,
34,0.33,5.56277801234305,1.83093503084302,-0.0125359352045521,
35,0.34,5.40585670906188,1.77859838808881,-0.0121995988826042,
36,0.35,5.23326452287036,1.7207648780906,-0.011850784067659,
37,0.36,5.04532900363393,1.657465903361,-0.0114908929105041,
38,0.37,4.84251556015072,1.58876400259445,-0.0111225677194599,
39,0.38,4.62543203705168,1.51475534224634,-0.0107497785459961,
40,0.39,4.39483087392126,1.4355719757125,-0.0103778744940623,
41,0.4,4.15160858975198,1.35138377218276,-0.0100135910195374,
42,0.41,3.89680239871431,1.26239991583696,-0.00966500661292176,
43,0.42,3.63158383773866,1.16886987888103,-0.00934144397384794,
44,0.43,3.357249370644,1.07108377932826,-0.00905331304833609,
45,0.44,3.07520802496957,0.969372046530039,-0.0088118960160815,
46,0.45,2.78696621317753,0.864104334094272,-0.00862907734356211,
47,0.46,2.49410998593527,0.755687640566632,-0.00851702517584095,
48,0.47,2.19828505786413,0.644563622378804,-0.00848783341288827,
49,0.48,1.90117503140464,0.531205110132609,-0.00855313657983581,
50,0.49,1.60447831828373,0.416111867126937,-0.00872371183657432,
51,0.5,1.30988431672784,0.299805656844444,-0.00900908398957695,
52,0.51,1.01904944279132,0.18282471253145,-0.00941715002303071,
53,0.52,0.733573633422857,0.0657177256840633,-0.00995383937404447,
54,0.53,0.454977935545006,-0.0509625100391674,-0.0106228249259917,
55,0.54,0.184683768908371,-0.166665648267672,-0.0114252975475116,
56,0.55,-0.0760055986094285,-0.280850372634562,-0.0123598140952035,
57,0.56,-0.325920894499111,-0.392990850048365,-0.0134222253177002,
58,0.57,-0.564039623005749,-0.502582895607181,-0.0146056862820872,
59,0.58,-0.789495505467203,-0.609149700227252,-0.0159007480467724,
60,0.59,-1.00158441214433,-0.7122469876866,-0.0172955255835121,
61,0.6,-1.19976673398943,-0.811467488220652,-0.0187759336388872,
62,0.61,-1.38366625787484,-0.906444639986162,-0.0203259795150064,
63,0.62,-1.55306571792887,-0.996855456412363,-0.0219280997791565,
64,0.63,-1.70789929413303,-1.08242252538896,-0.0235635267588966,
65,0.64,-1.84824241327804,-1.16291513410969,-0.0252126703552847,
66,0.65,-1.97429927374634,-1.23814953998941,-0.0268555011655892,
67,0.66,-2.08638856245277,-1.30798843233865,-0.0284719220507418,
68,0.67,-2.18492785883339,-1.37233965054439,-0.0300421169771013,
69,0.68,-2.27041722733736,-1.43115424172857,-0.0315468680489636,
70,0.69,-2.34342248777088,-1.48442395383743,-0.0329678339616237,
71,0.7,-2.40455862423846,-1.53217826869627,-0.0342877854840144,
72,0.71,-2.45447375113757,-1.57448108380835,-0.035490795881016,
73,0.72,-2.49383400191096,-1.61142715183996,-0.0365623862893593,
74,0.73,-2.52330964643739,-1.6431383832293,-0.0374896278783376,
75,0.74,-2.54356267938327,-1.66976011071277,-0.0382612040994808,
76,0.75,-2.55523605763154,-1.69145740537898,-0.0388674374304571,
77,0.76,-2.55894470273039,-1.70841152277225,-0.0393002857472633,
78,0.77,-2.55526832633497,-1.72081654520235,-0.0395533138369094,
79,0.78,-2.54474608444915,-1.72887627337316,-0.0396216456284825,
80,0.79,-2.52787302093575,-1.73280140725975,-0.0395019025226785,
81,0.8,-2.50509822272971,-1.73280704330919,-0.0391921327930325,
82,0.81,-2.47682457845696,-1.72911050290111,-0.0386917364714514,
83,0.82,-2.44341000834213,-1.72192949588216,-0.0380013894688133,
84,0.83,-2.4051700157054,-1.71148061310034,-0.037122969965631,
85,0.84,-2.3623813981515,-1.6979781333519,-0.0360594893785683,
86,0.85,-2.3152869488179,-1.68163312308325,-0.0348150294989779,
87,0.86,-2.26410097386951,-1.66265280157383,-0.0333946867352251,
88,0.87,-2.20901545099041,-1.64124014012051,-0.0318045237901153,
89,0.88,-2.1502066542627,-1.61759366087286,-0.0300515285809833,
90,0.89,-2.0878420730465,-1.59190739932006,-0.0281435797705594,
91,0.9,-2.02208745598008,-1.56437099387919,-0.0260894179250991,
92,0.91,-1.9531138158712,-1.53516986644062,-0.0238986210526448,
93,0.92,-1.8811042370699,-1.50448545894741,-0.0215815830962223,
94,0.93,-1.80626033401924,-1.47249549298174,-0.0191494938596564,
95,0.94,-1.72880821826091,-1.4393742217691,-0.0166143188210871,
96,0.95,-1.64900384141961,-1.405292646868,-0.0139887773331265,
97,0.96,-1.56713759376259,-1.37041867497939,-0.0112863178093981,
98,0.97,-1.48353805190923,-1.3349171936927,-0.00852108864407107,
99,0.98,-1.39857478512259,-1.29895004850408,-0.00570790379192545,
100,0.99,-1.31266014719896,-1.26267590703535,-0.00286220213854299,
101,1,-1.22625,-1.22625,-5.7617906106326E-18,
