frame, time,Joint1: GenForce (N.m),Joint2: GenForce (N.m),Joint3: GenForce (N.m),
1,0,6.26432423188424,2.05193010438061,-0.0169892930917844,
2,0.01,6.21888985261073,2.03482752418945,-0.0172380926116867,
3,0.02,6.17343773812703,2.01771970710754,-0.0174866881061255,
4,0.03,6.12792403276898,2.00059344536485,-0.017734558091734,
5,0.04,6.08227893279539,1.98342722586971,-0.0179808403451239,
6,0.05,6.03640938999393,1.96619166466568,-0.0182243393543212,
7,0.06,5.99020171277988,1.94884994885203,-0.0184635354257697,
8,0.07,5.9435240706885,1.93135828829407,-0.0186965957402653,
9,0.08,5.89622890852155,1.91366637977168,-0.0189213876941804,
10,0.09,5.84815527647187,1.89571788635713,-0.0191354948834442,
11,0.1,5.79913108235899,1.87745093479455,-0.0193362360882684,
12,0.11,5.74897527170159,1.85879863349076,-0.0195206875978014,
13,0.12,5.69749994076608,1.83968961343494,-0.019685709176959,
14,0.13,5.64451238699603,1.82004859396041,-0.0198279739238411,
15,0.14,5.58981710037614,1.79979697475849,-0.0199440021967209,
16,0.15,5.53321769834432,1.77885345496861,-0.020030199706073,
17,0.16,5.47451880586244,1.75713467951404,-0.0200828997711451,
18,0.17,5.41352788121497,1.73455591214372,-0.020098409634119,
19,0.18,5.35005698704715,1.7110317338933,-0.0200730606101483,
20,0.19,5.28392450510258,1.68647676490603,-0.0200032617309873,
21,0.2,5.21495679209367,1.66080640677305,-0.0198855564163401,
22,0.21,5.1429897731561,1.63393760177692,-0.0197166815834899,
23,0.22,5.06787046841857,1.60578960466737,-0.0194936284855161,
24,0.23,4.98945844737741,1.57628476187905,-0.0192137044548921,
25,0.24,4.90762720501841,1.54534929243201,-0.0188745946260532,
26,0.25,4.82226545298921,1.51291406415076,-0.0184744226211506,
27,0.26,4.73327831860822,1.47891535831053,-0.0180118091111333,
28,0.27,4.64058844411182,1.44329561538217,-0.0174859271127607,
29,0.28,4.5441369783005,1.40600415421156,-0.0168965528540549,
30,0.29,4.44388445265618,1.36699785674475,-0.0162441110385397,
31,0.3,4.33981153407241,1.326241810306,-0.0155297133642803,
32,0.31,4.23191964657258,1.28370989945755,-0.0147551892085132,
33,0.32,4.12023145479096,1.23938533962316,-0.013923107473022,
34,0.33,4.00479120255726,1.19326114494436,-0.013036788699082,
35,0.34,3.88566490065588,1.1453405232587,-0.0121003067025625,
36,0.35,3.76294035872125,1.09563719164208,-0.0111184791475949,
37,0.36,3.63672705727322,1.04417560663661,-0.0100968466681219,
38,0.37,3.50715585708162,0.990991104085497,-0.0090416403568841,
39,0.38,3.37437854436351,0.936129944407421,-0.00795973766641577,
40,0.39,3.23856721174583,0.879649260152855,-0.00685860700123661,
41,0.4,3.09991347645075,0.82161690378039,-0.0057462415189134,
42,0.41,2.95862753876208,0.762111194756405,-0.00463108289395586,
43,0.42,2.81493708548446,0.701220566298766,-0.00352193602634248,
44,0.43,2.66908604478917,0.639043113335777,-0.00242787588959016,
45,0.44,2.5213332005246,0.575686044515256,-0.00135814790565733,
46,0.45,2.37195067572815,0.511265042354444,-0.000322063399961943,
47,0.46,2.22122229668184,0.44590353684835,0.000671108175606503,
48,0.47,2.06944185037751,0.379731899030847,0.00161224846485073,
49,0.48,1.91691124967123,0.312886562088659,0.00249249902777064,
50,0.49,1.76393862168311,0.245509078643613,0.00330336789376682,
51,0.5,1.61083633611286,0.177745123724515,0.00403683200537799,
52,0.51,1.45791899106865,0.109743453730209,0.00468543377604902,
53,0.52,1.30550137472691,0.0416548323249892,0.00524237009194096,
54,0.53,1.15389642163538,-0.026369065305523,0.00570157223266917,
55,0.54,1.00341318272654,-0.0941767580850744,0.0060577753654715,
56,0.55,0.854354828113905,-0.161618062654819,0.00630657647706737,
57,0.56,0.707016701492855,-0.228545183064963,0.00644447984191356,
58,0.57,0.561684444460629,-0.294813774843556,0.00646892937857155,
59,0.58,0.418632208309664,-0.360283972091676,0.00637832751087299,
60,0.59,0.278120969843367,-0.424821366771772,0.0061720404206473,
61,0.6,0.140396966527204,-0.488297930025536,0.00585038984705437,
62,0.61,0.00569026483814922,-0.55059286616661,0.00541463184731676,
63,0.62,-0.125786525965549,-0.611593390926373,0.004866923178527,
64,0.63,-0.253839384238589,-0.671195426570085,0.00421027618443087,
65,0.64,-0.37829384203355,-0.729304207626395,0.00344850326962272,
66,0.65,-0.498995780449197,-0.785834792163936,0.00258615221224891,
67,0.66,-0.615812049930365,-0.840712474782674,0.0016284337019027,
68,0.67,-0.728630913357089,-0.893873098741518,0.000581142589726474,
69,0.68,-0.837362311907599,-0.945263265894871,-0.000549425598292208,
70,0.69,-0.941937955788263,-0.994840444336722,-0.00175656130630936,
71,0.7,-1.04231124395811,-1.04257297482999,-0.00303322918133518,
72,0.71,-1.13845701890264,-1.08843997821122,-0.00437215636470353,
73,0.72,-1.23037116429976,-1.13243116698777,-0.00576591938589195,
74,0.73,-1.31807005504098,-1.17454656527068,-0.00720702830243188,
75,0.74,-1.40158987049938,-1.21479614199727,-0.00868800685346777,
76,0.75,-1.48098578314911,-1.25319936308272,-0.0102014675377042,
77,0.76,-1.55633103562441,-1.28978466869116,-0.0117401806844822,
78,0.77,-1.62771592004437,-1.32458888222958,-0.0132971367549165,
79,0.78,-1.69524667391601,-1.35765655793895,-0.0148656012838642,
80,0.79,-1.75904430715815,-1.38903927408935,-0.0164391620486225,
81,0.8,-1.81924337476246,-1.41879487878164,-0.0180117682226642,
82,0.81,-1.87599070933097,-1.44698669522465,-0.0195777614388244,
83,0.82,-1.92944412720901,-1.47368269310421,-0.0211318988430658,
84,0.83,-1.9797711211819,-1.4989546322982,-0.0226693683647878,
85,0.84,-2.02714755173714,-1.52287718473603,-0.0241857965606849,
86,0.85,-2.07175634772914,-1.5455270396653,-0.0256772495051315,
87,0.86,-2.11378622594217,-1.56698199699151,-0.0271402273003133,
88,0.87,-2.15343043754844,-1.58732005271593,-0.0285716528637302,
89,0.88,-2.19088554782892,-1.60661847983224,-0.0299688557197539,
90,0.89,-2.22635025378582,-1.62495290737528,-0.0313295515765554,
